,course_code,course_name,faculty,section,date,professor
52,FSD370,"FASHION BUSINESS
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.ปรุฬห์ลภย์ พฤกษ์โสภี",คณะศิลปกรรมศาสตร์,768701,"FR 08:30-09:30 N/A
FR 09:30-12:30 N/A",-
53,FSD380,"FASHION DESIGN FOR COMMUNITY
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ศิรินทร์ ใจเที่ยง",คณะศิลปกรรมศาสตร์,213201,"TH 08:30-09:30 N/A
TH 09:30-12:30 N/A",-
54,FSD460,"RESEARCH METHODOLOGY
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ศิรินทร์ ใจเที่ยง",คณะศิลปกรรมศาสตร์,000001,,-
55,FSD461,"FASHION DESIGN THESIS PREPARATION
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.ปรุฬห์ลภย์ พฤกษ์โสภี
ผศ.จิรัชญา วันจันทร์",คณะศิลปกรรมศาสตร์,789001,WE 09:30-15:30 N/A,"อ.ปรุฬห์ลภย์ พฤกษ์โสภี
ผศ.จิรัชญา วันจันทร์"
56,IC460,"DESIGN THESIS PREPARATION
ผศ.วีระจักร์ สุเอียนทรเมธี",คณะศิลปกรรมศาสตร์,700001,TH 09:30-14:30 N/A,-
57,ICD111,"TECHNICAL DRAWING FOR MANUFACTURING
ผศ.กิตติพงษ์ เกียรติวิภาค",คณะศิลปกรรมศาสตร์,700001,TU 09:30-14:30 N/A,-
58,ICD121,"PRINCIPLE OF COMPOSITION
ผศ.วีระจักร์ สุเอียนทรเมธี
ผศ.รัชภูมิ ปัญส่งเสริม",คณะศิลปกรรมศาสตร์,700001,FR 09:30-14:30 N/A,-
59,ICD141,"BASIC DRAWING 1
อ.ศักดิ์สิทธิ์ คำหลวง
ผศ.จำลอง สุวรรณชาติ",คณะศิลปกรรมศาสตร์,700001,MO 13:30-17:30 N/A,-
60,ICD144,"PRINCIPLE OF THE THEORY COLOURS
อ.ศักดิ์สิทธิ์ คำหลวง
ผศ.จำลอง สุวรรณชาติ",คณะศิลปกรรมศาสตร์,700001,TH 09:30-12:30 N/A,-
61,ICD145,"BASIC THREE-DIMENSIONAL DESIGN
ผศ.จำลอง สุวรรณชาติ",คณะศิลปกรรมศาสตร์,700001,SU 09:30-14:30 N/A,-
62,ICD210,"INTERDISCIPLINARY SKILL-WORKSHOPS
ผศ.กิตติพงษ์ เกียรติวิภาค
ผศ.จำลอง สุวรรณชาติ
ผศ.รัชภูมิ ปัญส่งเสริม",คณะศิลปกรรมศาสตร์,700001,MO 09:30-14:30 N/A,"ผศ.กิตติพงษ์ เกียรติวิภาค
ผศ.จำลอง สุวรรณชาติ
ผศ.รัชภูมิ ปัญส่งเสริม"
63,ICD221,"INDUSTRIAL CRAFTS DESIGN 1
ผศ.ศรีชนา เจริญเนตร
ผศ.กิตติพงษ์ เกียรติวิภาค",คณะศิลปกรรมศาสตร์,700001,TU 09:30-14:30 N/A,-
64,ICD231,"MATERIALS FOR PRODUCT DESIGN 1
ผศ.ศรีชนา เจริญเนตร",คณะศิลปกรรมศาสตร์,700001,SA 09:30-14:30 N/A,-
65,ICD233,"MATERIALS FOR PRODUCT DESIGN 3
อ.วิญญู ศักดาทร
ผศ.กิตติพงษ์ เกียรติวิภาค",คณะศิลปกรรมศาสตร์,700001,SU 09:30-14:30 N/A,-
66,ICD234,"COMPUTER AIDED DESIGN
ผศ.รัชภูมิ ปัญส่งเสริม",คณะศิลปกรรมศาสตร์,700001,MO 09:30-14:30 N/A,-
67,ICD311,"FURNITURE DESIGN 2
ผศ.กิตติพงษ์ เกียรติวิภาค",คณะศิลปกรรมศาสตร์,700001,WE 09:30-14:30 N/A,-
68,ICD313,"PACKAGE DESIGN
ผศ.รัชภูมิ ปัญส่งเสริม
ผศ.ศรีชนา เจริญเนตร",คณะศิลปกรรมศาสตร์,700001,WE 09:30-14:30 N/A,-
69,ICD315,"CERAMICS 2
อ.เกษสุดา ดอนเมือง
ผศ.วีระจักร์ สุเอียนทรเมธี",คณะศิลปกรรมศาสตร์,700001,WE 09:30-14:30 N/A,-
70,ICD321,"INDUSTRIAL CRAFTS DESIGN 3
ผศ.ศรีชนา เจริญเนตร",คณะศิลปกรรมศาสตร์,700001,FR 09:30-14:30 N/A,-
71,ICD347,"LANNA ART
อ.ดร.เพ็ญสุภา สุขคตะใจอินทร์
ผศ.ศรีชนา เจริญเนตร",คณะศิลปกรรมศาสตร์,700001,FR 09:30-12:30 N/A,-
72,ICD348,"POTTERY ART
ผศ.จำลอง สุวรรณชาติ",คณะศิลปกรรมศาสตร์,700001,WE 09:30-14:30 N/A,-
73,ICD361,"RESEARCH METHODOLOGY FOR DESIGN
ผศ.วีระจักร์ สุเอียนทรเมธี
ผศ.รัชภูมิ ปัญส่งเสริม",คณะศิลปกรรมศาสตร์,700001,MO 09:30-12:30 N/A,-
74,ICD426,"DISPLAY AND EXHIBITION DESIGN
ผศ.รัชภูมิ ปัญส่งเสริม",คณะศิลปกรรมศาสตร์,700001,TU 09:30-14:30 N/A,-
75,ICD430,"PRODUCT TECHNOLOGY FOR INDUSTRIAL CRAFTS
อ.ดร.อรนุตฎฐ์ สุธาคำ
ผศ.กิตติพงษ์ เกียรติวิภาค",คณะศิลปกรรมศาสตร์,700001,TU 09:30-11:30 N/A,-
76,ICD460,"DESIGN THESIS PREPARATION
ผศ.วีระจักร์ สุเอียนทรเมธี",คณะศิลปกรรมศาสตร์,700001,TH 09:30-14:30 N/A,-
77,MU100,"INTRODUCTION TO MUSIC
รศ.อัศนีย์ เปลี่ยนศรี
ผศ.ศรุพงษ์ สุดประเสริฐ",คณะศิลปกรรมศาสตร์,780001,WE 09:30-12:30 N/A,-
78,MU200,"INTRODUCTION TO MUSIC
รศ.อัศนีย์ เปลี่ยนศรี
ผศ.ศรุพงษ์ สุดประเสริฐ",คณะศิลปกรรมศาสตร์,780001,WE 09:30-12:30 N/A,-
79,MU201,"DEVELOPMENT OF THAI MUSIC
รศ.อัศนีย์ เปลี่ยนศรี",คณะศิลปกรรมศาสตร์,450001,TU 13:30-16:30 N/A,-
80,MU205,"DEVELOPMENT OF THAI MUSIC
รศ.อัศนีย์ เปลี่ยนศรี",คณะศิลปกรรมศาสตร์,450001,TU 13:30-16:30 N/A,-
81,MU235,"THAI MUSIC : THEORY AND PRACTICE 1
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
รศ.อัศนีย์ เปลี่ยนศรี",คณะศิลปกรรมศาสตร์,020001,"TU 09:30-11:30 N/A
TH 09:30-11:30 N/A",-
82,MU245,"WESTERN MUSIC : THEORY AND PRACTICE 1
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
รศ.อัศนีย์ เปลี่ยนศรี",คณะศิลปกรรมศาสตร์,450001,TU 13:30-16:30 N/A,-
83,PT163,"THAI ART
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.รุ่งวิทย์ ลัคนทิน",คณะศิลปกรรมศาสตร์,820001,"MO 13:30-14:30 N/A
MO 14:30-17:30 N/A",-
84,PT166,"COMPOSITION FOR DESIGN FUNDAMENTAL
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.บุญช่วย เกิดรี",คณะศิลปกรรมศาสตร์,540001,TH 13:30-16:30 N/A,-
85,TD231,"INTRODUCTION TO TEXTILE DESIGN
ผศ.ศิรินทร์ ใจเที่ยง",คณะศิลปกรรมศาสตร์,000001,,-
86,TD300,"INTERNSHIP
อ.ปรุฬห์ลภย์ พฤกษ์โสภี",คณะศิลปกรรมศาสตร์,000001,,-
